,Review,Liked,Review Letter Counter,Not Liked,Country,Profit,Category,Gender,Payments_methods,Year
66,Always a great time at Dos Gringos!,1,35,0,Australia,2976,Medium,Female,mobile payment,2021
67,Update.....went back for a second time and it was still just as amazing,1,71,0,Canada,3699,Medium,Male,mobile payment,2020
68,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,98,1,Canada,3871,Medium,Male,mobile payment,2020
69,A great way to finish a great.,1,30,0,Brazil,6585,High,Female,mobile payment,2022
70,"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,91,0,South Africa,1429,Low,Female,credit card,2020
71,"- Really, really good rice, all the time.",1,41,0,USA,5928,High,Female,cash,2023
72,The service was meh.,0,20,1,Brazil,7064,High,Female,credit card,2022
73,"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,87,1,Canada,8476,High,Male,cash,2023
74,"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,128,1,Brazil,7046,High,Male,cash,2020
75,The scallop dish is quite appalling for value as well.,0,54,1,Japan,3945,Medium,Male,credit card,2020
76,2 times - Very Bad Customer Service !,0,37,1,France,2549,Medium,Male,credit card,2020
77,The sweet potato fries were very good and seasoned well.,1,56,0,Germany,5844,High,Male,cash,2024
78,Today is the second time I've been to their lunch buffet and it was pretty good.,1,80,0,Australia,1215,Low,Female,mobile payment,2021
79,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,119,1,Canada,1590,Low,Female,credit card,2024
80,Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,133,1,Brazil,4505,Medium,Male,credit card,2022
81,walked in and the place smelled like an old grease trap and only 2 others there eating.,0,87,1,Canada,7625,High,Male,mobile payment,2020
82,The turkey and roast beef were bland.,0,37,1,Canada,4634,Medium,Male,cash,2021
83,This place has it!,1,18,0,France,9364,High,Female,cash,2022
84,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,110,1,USA,6555,High,Female,mobile payment,2024
85,I love the Pho and the spring rolls oh so yummy you have to try.,1,64,0,France,6104,High,Female,mobile payment,2024
86,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,73,1,South Africa,8082,High,Male,cash,2020
87,All I have to say is the food was amazing!!!,1,44,0,Japan,5312,High,Female,mobile payment,2024
88,Omelets are to die for!,1,23,0,Australia,4410,Medium,Male,credit card,2021
89,Everything was fresh and delicious!,1,35,0,Japan,7810,High,Male,cash,2021
90,"In summary, this was a largely disappointing dining experience.",0,63,1,USA,4640,Medium,Male,cash,2023
91,"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,117,0,USA,4345,Medium,Female,mobile payment,2024
92,"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,80,1,Brazil,9552,High,Male,cash,2021
93,Best breakfast buffet!!!,1,24,0,Australia,4690,Medium,Female,mobile payment,2024
94,say bye bye to your tip lady!,0,29,1,Australia,9986,High,Female,cash,2022
95,We'll never go again.,0,21,1,Germany,3590,Medium,Male,credit card,2022
96,Will be back again!,1,19,0,China,7830,High,Female,cash,2023
97,Food arrived quickly!,1,21,0,Australia,9476,High,Female,mobile payment,2020
98,It was not good.,0,16,1,France,8594,High,Female,mobile payment,2020
99,"On the up side, their cafe serves really good food.",1,51,0,Canada,8020,High,Female,cash,2023
100,"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,146,0,USA,3932,Medium,Male,cash,2024
101,"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,90,0,Canada,1183,Low,Male,cash,2024
102,"Best Buffet in town, for the price you cannot beat it.",1,54,0,India,3779,Medium,Female,cash,2024
103,"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,113,0,China,4620,Medium,Female,mobile payment,2024
104,This is one of the better buffets that I have been to.,1,54,0,India,6107,High,Male,credit card,2024
105,So we went to Tigerlilly and had a fantastic afternoon!,1,55,0,USA,4664,Medium,Female,credit card,2023
106,"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,91,0,France,1626,Low,Female,cash,2023
107,The ambience is wonderful and there is music playing.,1,53,0,Germany,6172,High,Male,credit card,2022
108,Will go back next trip out.,1,27,0,Germany,1048,Low,Male,credit card,2020
109,Sooooo good!!,1,13,0,Brazil,8448,High,Female,mobile payment,2020
110,"REAL sushi lovers, let's be honest - Yama is not that good.",0,59,1,India,2645,Medium,Male,credit card,2021
111,"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,92,1,Japan,1150,Low,Female,mobile payment,2020
112,This is a really fantastic Thai restaurant which is definitely worth a visit.,1,77,0,Japan,8789,High,Male,mobile payment,2021
113,"Nice, spicy and tender.",1,23,0,Germany,3482,Medium,Male,cash,2023
114,Good prices.,1,12,0,India,6973,High,Male,cash,2022
115,Check it out.,1,13,0,Canada,5690,High,Male,mobile payment,2024
116,It was pretty gross!,0,20,1,South Africa,1691,Low,Male,cash,2023
117,I've had better atmosphere.,0,27,1,Brazil,4230,Medium,Female,cash,2023
118,Kind of hard to mess up a steak but they did.,0,45,1,Australia,2082,Medium,Female,mobile payment,2022
119,"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,107,1,France,6990,High,Female,credit card,2024
120,I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,126,1,South Africa,8383,High,Female,mobile payment,2022
121,"Worst service to boot, but that is the least of their worries.",0,62,1,Brazil,6380,High,Male,mobile payment,2022
122,Service was fine and the waitress was friendly.,1,47,0,China,7609,High,Male,mobile payment,2022
123,"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,140,0,Brazil,7323,High,Female,mobile payment,2023
124,"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,111,0,China,4759,Medium,Male,cash,2022
125,"Host staff were, for lack of a better word, BITCHES!",0,52,1,Germany,9930,High,Female,cash,2022
126,Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,131,1,Australia,4689,Medium,Female,mobile payment,2020
127,"Phenomenal food, service and ambiance.",1,38,0,China,4720,Medium,Female,mobile payment,2024
128,I wouldn't return.,0,18,1,Brazil,6656,High,Male,credit card,2024
129,"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,96,0,France,1217,Low,Male,mobile payment,2021
130,This place is way too overpriced for mediocre food.,0,51,1,Germany,3748,Medium,Female,mobile payment,2021
131,Penne vodka excellent!,1,22,0,India,6738,High,Female,mobile payment,2024
132,"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,139,0,France,9605,High,Female,cash,2024
133,The management is rude.,0,23,1,Australia,4317,Medium,Female,mobile payment,2024
134,"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,81,0,South Africa,5281,High,Female,credit card,2022
135,"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,105,0,USA,6250,High,Male,credit card,2023
136,I had a seriously solid breakfast here.,1,39,0,India,7568,High,Female,cash,2022
137,This is one of the best bars with food in Vegas.,1,48,0,France,9940,High,Female,cash,2021
138,"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,120,1,Japan,2197,Medium,Female,credit card,2021
139,My drink was never empty and he made some really great menu suggestions.,1,72,0,Japan,1708,Low,Male,mobile payment,2020
140,Don't do it!!!!,0,15,1,France,6875,High,Male,mobile payment,2020
141,The waiter wasn't helpful or friendly and rarely checked on us.,0,63,1,Australia,8883,High,Female,credit card,2020
142,My husband and I ate lunch here and were very disappointed with the food and service.,0,85,1,India,2606,Medium,Female,credit card,2023
143,And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,72,1,USA,3911,Medium,Female,credit card,2022
144,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,87,0,Brazil,6021,High,Female,credit card,2024
145,The bathrooms are clean and the place itself is well decorated.,1,63,0,Japan,5084,High,Female,mobile payment,2021
146,"The menu is always changing, food quality is going down & service is extremely slow.",0,84,1,India,8795,High,Female,mobile payment,2020
147,"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,119,1,Japan,1297,Low,Female,mobile payment,2024
148,I give it 2 thumbs down,0,23,1,South Africa,7361,High,Male,cash,2021
149,We watched our waiter pay a lot more attention to other tables and ignore us.,0,77,1,Germany,9022,High,Male,cash,2021
150,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,88,0,Germany,6039,High,Female,cash,2023
151,This is a great restaurant at the Mandalay Bay.,1,47,0,Germany,7776,High,Female,mobile payment,2023
152,We waited for forty five minutes in vain.,0,41,1,Germany,3138,Medium,Male,mobile payment,2023
153,Crostini that came with the salad was stale.,0,44,1,India,6553,High,Female,credit card,2021
154,Some highlights : Great quality nigiri here!,1,44,0,France,8801,High,Male,cash,2024
155,the staff is friendly and the joint is always clean.,1,52,0,India,7421,High,Male,credit card,2020
156,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,109,0,Japan,8074,High,Female,cash,2020
157,I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,126,0,Canada,7372,High,Male,mobile payment,2021
158,this place is good.,1,19,0,USA,3455,Medium,Male,credit card,2022
159,"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,99,1,Germany,4288,Medium,Male,mobile payment,2022
160,I came back today since they relocated and still not impressed.,0,63,1,France,8678,High,Male,credit card,2024
161,I was seated immediately.,1,25,0,Japan,7791,High,Female,credit card,2021
162,"Their menu is diverse, and reasonably priced.",1,45,0,Brazil,2108,Medium,Female,mobile payment,2022
163,Avoid at all cost!,0,18,1,Canada,4385,Medium,Female,cash,2022
164,Restaurant is always full but never a wait.,1,43,0,Canada,9716,High,Female,credit card,2024
165,DELICIOUS!!,1,11,0,Australia,4142,Medium,Male,credit card,2024
166,This place is hands-down one of the best places to eat in the Phoenix metro area.,1,81,0,Japan,5842,High,Female,credit card,2024
167,So don't go there if you are looking for good food...,0,53,1,Australia,6262,High,Male,mobile payment,2023
168,I've never been treated so bad.,0,31,1,Australia,4366,Medium,Female,cash,2024
169,Bacon is hella salty.,1,21,0,USA,6118,High,Female,mobile payment,2021
170,"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,114,1,USA,1751,Low,Female,credit card,2020
171,"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,121,0,South Africa,2705,Medium,Female,credit card,2020
172,The waitresses are very friendly.,1,33,0,Canada,3442,Medium,Male,cash,2021
173,"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,72,0,India,6478,High,Male,cash,2023
174,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,127,0,Australia,1446,Low,Female,cash,2021
175,"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,100,1,Canada,4397,Medium,Male,credit card,2021
176,The service here leaves a lot to be desired.,0,44,1,Japan,3364,Medium,Male,mobile payment,2021
177,"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,72,0,Brazil,9263,High,Female,mobile payment,2020
178,"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,81,0,China,8536,High,Female,mobile payment,2023
179,We literally sat there for 20 minutes with no one asking to take our order.,0,75,1,India,6042,High,Female,credit card,2020
180,"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,132,1,Australia,8880,High,Male,mobile payment,2024
181,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,114,1,USA,4564,Medium,Male,cash,2022
182,I dressed up to be treated so rudely!,0,37,1,Canada,9245,High,Male,cash,2024
183,It was probably dirt.,0,21,1,Brazil,5837,High,Male,cash,2024
184,"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,99,0,Japan,7755,High,Male,credit card,2021
185,I ordered the Lemon raspberry ice cocktail which was also incredible.,1,69,0,South Africa,8044,High,Male,credit card,2023
186,"The food sucked, which we expected but it sucked more than we could have imagined.",0,82,1,India,6956,High,Male,credit card,2023
187,Interesting decor.,1,18,0,USA,9195,High,Male,credit card,2022
188,What I really like there is the crepe station.,1,46,0,USA,4790,Medium,Male,mobile payment,2023
189,"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,120,0,Brazil,4490,Medium,Male,mobile payment,2024
190,you can watch them preparing the delicious food!),1,49,0,Brazil,7877,High,Male,credit card,2024
191,Both of the egg rolls were fantastic.,1,37,0,Germany,9234,High,Female,cash,2024
192,"When my order arrived, one of the gyros was missing.",0,52,1,India,8803,High,Female,mobile payment,2023
193,"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,94,0,Canada,3953,Medium,Male,credit card,2022
194,I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,99,1,USA,5584,High,Male,mobile payment,2024
195,The best place to go for a tasty bowl of Pho!,1,45,0,Brazil,8070,High,Female,credit card,2021
196,The live music on Fridays totally blows.,0,40,1,Brazil,1219,Low,Female,credit card,2024
197,I've never been more insulted or felt disrespected.,0,51,1,Canada,6171,High,Male,cash,2021
198,Very friendly staff.,1,20,0,Japan,5144,High,Female,mobile payment,2023
199,It is worth the drive.,1,22,0,USA,2589,Medium,Male,mobile payment,2022
200,"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,94,0,Japan,9877,High,Female,mobile payment,2021
201,Food was great and so was the serivce!,1,38,0,Brazil,6259,High,Female,mobile payment,2023
202,The warm beer didn't help.,0,26,1,Japan,1410,Low,Male,mobile payment,2022
203,Great brunch spot.,1,18,0,France,1973,Low,Male,cash,2022
204,Service is friendly and inviting.,1,33,0,USA,3112,Medium,Male,credit card,2021
205,Very good lunch spot.,1,21,0,France,6612,High,Female,mobile payment,2022
206,I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,100,1,Japan,3669,Medium,Male,credit card,2021
207,The WORST EXPERIENCE EVER.,0,26,1,Canada,9548,High,Male,credit card,2023
208,Must have been an off night at this place.,0,42,1,China,7222,High,Female,cash,2021
209,"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,80,0,India,7019,High,Female,mobile payment,2022
210,"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,139,1,Canada,3917,Medium,Male,cash,2022
211,"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,106,1,China,7798,High,Female,cash,2024
212,My friend loved the salmon tartar.,1,34,0,Brazil,1125,Low,Male,credit card,2021
213,Won't go back.,0,14,1,Canada,6886,High,Male,credit card,2022
214,Extremely Tasty!,1,16,0,Japan,4483,Medium,Female,credit card,2024
215,Waitress was good though!,1,25,0,India,6237,High,Female,cash,2021
216,Soggy and not good.,0,19,1,Germany,7630,High,Female,credit card,2022
217,The Jamaican mojitos are delicious.,1,35,0,Canada,8501,High,Female,cash,2022
218,Which are small and not worth the price.,0,40,1,India,2090,Medium,Female,credit card,2024
219,- the food is rich so order accordingly.,1,40,0,France,6589,High,Male,cash,2023
220,"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!",0,127,1,China,3147,Medium,Female,cash,2023
221,The service was a bit lacking.,0,30,1,South Africa,6074,High,Female,credit card,2023
222,"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.",0,118,1,India,2790,Medium,Female,mobile payment,2024
223,Hopefully this bodes for them going out of business and someone who can cook can come in.,0,89,1,USA,9743,High,Male,mobile payment,2022
224,"It was either too cold, not enough flavor or just bad.",0,54,1,Japan,6166,High,Female,credit card,2022
225,I loved the bacon wrapped dates.,1,32,0,Australia,8800,High,Male,cash,2024
226,This is an unbelievable BARGAIN!,1,32,0,Germany,6802,High,Male,cash,2022
227,The folks at Otto always make us feel so welcome and special.,1,61,0,South Africa,3924,Medium,Male,mobile payment,2022
228,"As for the ""mains,"" also uninspired.",0,36,1,India,5568,High,Female,credit card,2021
229,This is the place where I first had pho and it was amazing!!,1,60,0,Australia,1555,Low,Male,cash,2022
230,This wonderful experience made this place a must-stop whenever we are in town again.,1,84,0,China,9379,High,Male,cash,2023
231,"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.",0,102,1,India,5375,High,Female,credit card,2023
232,Very very very fun chef.,1,24,0,South Africa,8299,High,Male,credit card,2020
233,"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.",0,111,1,Australia,3953,Medium,Female,credit card,2023
234,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.,1,109,0,South Africa,2843,Medium,Female,cash,2023
235,"If it were possible to give them zero stars, they'd have it.",0,60,1,Australia,7599,High,Female,credit card,2023
236,"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them.",0,142,1,Japan,5964,High,Male,cash,2022
237,"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).",1,121,0,Brazil,6980,High,Female,credit card,2021
238,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,98,1,Australia,8982,High,Female,credit card,2022
239,"Everyone is very attentive, providing excellent customer service.",1,65,0,USA,9729,High,Male,credit card,2020
240,Horrible - don't waste your time and money.,0,43,1,USA,6445,High,Male,mobile payment,2020
241,Now this dish was quite flavourful.,1,35,0,India,4173,Medium,Female,mobile payment,2022
242,By this time our side of the restaurant was almost empty so there was no excuse.,0,80,1,France,5372,High,Male,mobile payment,2024
243,"(It wasn't busy either) Also, the building was FREEZING cold.",0,61,1,Australia,3551,Medium,Female,cash,2021
244,"like the other reviewer said ""you couldn't pay me to eat at this place again.""",0,78,1,Japan,5157,High,Male,mobile payment,2020
245,-Drinks took close to 30 minutes to come out at one point.,0,58,1,Brazil,1230,Low,Male,mobile payment,2023
246,"Seriously flavorful delights, folks.",1,36,0,Australia,1641,Low,Female,credit card,2021
247,Much better than the other AYCE sushi place I went to in Vegas.,1,63,0,Brazil,4535,Medium,Male,credit card,2020
248,The lighting is just dark enough to set the mood.,1,49,0,USA,7958,High,Male,cash,2023
249,Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.,0,116,1,Japan,7343,High,Female,cash,2023
250,Owner's are really great people.!,1,33,0,France,7977,High,Female,cash,2024
251,There is nothing privileged about working/eating there.,0,55,1,Japan,7241,High,Male,credit card,2021
252,The Greek dressing was very creamy and flavorful.,1,49,0,China,1697,Low,Male,mobile payment,2023
253,"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0,146,1,India,6068,High,Female,cash,2023
254,Now the pizza itself was good the peanut sauce was very tasty.,1,62,0,Germany,6471,High,Female,cash,2023
255,We had 7 at our table and the service was pretty fast.,1,54,0,Germany,7057,High,Male,cash,2021
256,Fantastic service here.,1,23,0,South Africa,7361,High,Female,cash,2020
257,I as well would've given godfathers zero stars if possible.,0,59,1,Japan,2801,Medium,Female,mobile payment,2021
258,They know how to make them here.,1,32,0,France,3847,Medium,Male,mobile payment,2022
259,very tough and very short on flavor!,0,36,1,South Africa,4514,Medium,Male,credit card,2022
260,I hope this place sticks around.,1,32,0,India,3359,Medium,Male,mobile payment,2023
261,"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.",0,97,1,China,8796,High,Female,cash,2021
262,The restaurant atmosphere was exquisite.,1,40,0,Canada,6781,High,Male,mobile payment,2023
263,"Good service, very clean, and inexpensive, to boot!",1,51,0,China,5733,High,Female,cash,2020
264,The seafood was fresh and generous in portion.,1,46,0,India,2891,Medium,Male,mobile payment,2024
265,"Plus, it's only 8 bucks.",1,24,0,South Africa,2456,Medium,Male,mobile payment,2024
266,"The service was not up to par, either.",0,38,1,Canada,9534,High,Male,mobile payment,2022
267,"Thus far, have only visited twice and the food was absolutely delicious each time.",1,82,0,South Africa,2041,Medium,Male,mobile payment,2022
268,Just as good as when I had it more than a year ago!,1,51,0,Australia,4971,Medium,Male,cash,2022
269,"For a self proclaimed coffee cafe, I was wildly disappointed.",0,61,1,South Africa,1165,Low,Female,credit card,2024
270,The Veggitarian platter is out of this world!,1,45,0,Japan,2062,Medium,Male,credit card,2020
271,You cant go wrong with any of the food here.,1,44,0,Japan,1053,Low,Female,credit card,2020
272,You can't beat that.,1,20,0,Brazil,5847,High,Male,credit card,2022
273,"Stopped by this place while in Madison for the Ironman, very friendly, kind staff.",1,82,0,USA,9676,High,Female,mobile payment,2023
274,The chefs were friendly and did a good job.,1,43,0,Brazil,7601,High,Male,credit card,2024
275,"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.",0,81,1,India,5492,High,Male,cash,2020
276,I liked the patio and the service was outstanding.,1,50,0,Australia,8415,High,Female,mobile payment,2022
277,The goat taco didn't skimp on the meat and wow what FLAVOR!,1,59,0,Canada,3283,Medium,Female,mobile payment,2020
278,I think not again,0,17,1,USA,4220,Medium,Male,credit card,2023
279,I had the mac salad and it was pretty bland so I will not be getting that again.,0,80,1,Canada,5190,High,Male,credit card,2023
280,I went to Bachi Burger on a friend's recommendation and was not disappointed.,1,77,0,Japan,2616,Medium,Female,credit card,2024
281,Service stinks here!,0,20,1,South Africa,6287,High,Female,mobile payment,2024
